Country,回答数,消費単価
nan,,
その他,1366.0,321816.85
イタリア,372.0,278197.262
インド,1050.0,224095.2108
インドネシア,900.0,190515.817
オーストラリア,1076.0,318737.8397
カナダ,902.0,288737.3224
シンガポール,588.0,278958.4534
スペイン,309.0,303820.9848
タイ,1355.0,173304.3063
ドイツ,1190.0,308231.3322
フィリピン,1024.0,164385.3744
フランス,613.0,316466.7022
ベトナム,1452.0,182784.5437
マレーシア,1513.0,181095.4099
ロシア,159.0,302504.9126
中国,4379.0,258245.8921
全国籍･地域,33491.0,203460.9833
台湾,2890.0,154399.6487
米国,5286.0,307129.3694
英国,759.0,325211.951
韓国,3482.0,98560.2988
香港,2826.0,231459.5857
